product_id,comment,comment_clean,rating
iphone-12,rất hài lòng với sản phẩm nhân viên tư vấn nhiệt tình chu đáo,hài sản_phẩm nhân_viên tư_vấn nhiệt_tình chu_đáo,5
iphone-12,tốt,tốt,5
iphone-12,chơi game khá ngon nha,game khá ngon nha,5
iphone-12,tân tình chu đáo,tân tình chu_đáo,5
iphone-12,máy dùng cũng ok nhưng pin hơi kém,máy ok pin hơi kém,3
iphone-12,sản phẩm được hình thức mới đẹp nói chung không có gì để chê,sản_phẩm hình_thức mới đẹp không chê,5
iphone-12,vừa mua hôm trước hôm sau đã phải đi bảo hành vì loa thoại không có,mua hôm hôm đi bảo hành loa thoại không,2
iphone-12,rất hài lòng về cửa hàng chị nhân viên tư vấn hỗ trợ nhiệt tình mình thích ip12 ở thiết kế vuông vức mà không kém phần tinh tế khung viền nhôm cho cảm giác cầm nắm nhẹ nhàng màn có sự nâng cấp về tấm nền cho chất lượng hiển thị và độ sáng cao hơn so với ip11 mình đã sử dụng được hơn tuần cảm nhận về hiệu năng thì đỉnh chỉ có điểm yếu nhỏ là viên pin 2815mah nhỏ so với các mẫu điện thoại cùng phân khúc nhưng đủ dùng trong ngày vẫn quá là oki ạ,hài cửa_hàng nhân_viên tư_vấn nhiệt_tình ip12 thiết_kế vuông_vức không kém tinh_tế khung viền nhôm cảm_giác cầm nắm nhẹ_nhàng màn nâng_cấp chất_lượng hiển_thị độ ip11 tuần cảm_nhận hiệu_năng đỉnh điểm yếu nhỏ viên pin 2815 mah nhỏ mẫu điện_thoại phân_khúc oki,5
iphone-12,máy tốt,máy tốt,4
iphone-12,chạy mượt,chạy mượt,5
iphone-12,dung tot,dung tot,4
iphone-12,ok,ok,5
iphone-12,thái độ phục vụ tốt,thái_độ phục_vụ tốt,4
iphone-12,trong thời gian đã dùng thì thấy ok,thời_gian ok,4
iphone-12,máy mua được 3 tháng rồi rất tốt rất hài lòng không nhưng một số bạn nói pin sài đủ cho ngày,máy mua tốt hài không pin sài,5
iphone-13,đã trải nghiệm được ngày máy dùng mọi chức năng thấy ổn sạc pin không nóng máy nếu chỉ gọi nghe chắc phải tiếng mới sạc lần camera thích hợp quay phim chụp hình vào ban ngày bạn đêm hình ảnh chụp hơi kém nói chung máy dùng ổn,trải_nghiệm máy chức_năng ổn sạc pin không nóng máy gọi tiếng mới sạc camera thích_hợp phim chụp hình ban_ngày đêm hình_ảnh chụp hơi kém máy ổn,4
iphone-13,sài rất tốt,sài tốt,5
iphone-13,giờ tôi muốn bán lại chiếc iphone này cho thế giới di động có được không,iphone thế_giới di_động không,4
iphone-13,quá thất vọng thế giới di động ban máy lỗi cho tui mới đem ra tiệm kiểm tra sửa pin không vô nói đoi máy mới không đoi trả lại tốn hơn 1tr 24h sử dụng đem sửa thì hết 15ngay trong khi máy tui còn zin sẽ không mua điện thoại ở thế giới di động nữa nếu không thay đổi chính sách bảo hành cho sao 1000lan quan lý nói trả lại tiền nếu mua máy khác tui không đu tiền rồi không mua cũng không trả lại tiền thế giới di động cái tắc hang,thất_vọng thế_giới di_động ban máy lỗi tui mới đem tiệm kiểm_tra sửa pin không vô đổi máy mới không đổi trả tốn 24 h đem sửa hết 15 máy tui zin không mua điện_thoại thế_giới di_động không chính_sách bảo hành 1000 lan_quan lý trả tiền mua máy tui không đu tiền không mua không trả tiền thế_giới di_động tắc hang,1
iphone-13,sao hđh nó lại là không phải như ghi trên web,hđh không ghi web,4
iphone-13,mới mua mấy ngày trước,mới mua mấy ngày_trước,4
iphone-13,máy mới mua ngày camera sau có hạt bụi nhân viên xác nhận có bụi bảo gửi máy về hãng thẩm định goodbye để từ bây giờ,máy mới mua camera hạt bụi nhân_viên xác_nhận bụi bảo gửi máy hãng thẩm_định goodbye,3
iphone-13,điện thoại mua được hơn tháng tại điện máy xanh đang dùng trên tay đột nhiên liệu sập nguồn không lên được nữa đi bảo hành thì phức tạp giờ đi sữa bỏ tiền ra mua máy zin mới được tháng thành máy đã quá sửa chữa trong khi dùng rất cẩn thận chưa hề có và chạm gì rất thất vọng,điện_thoại mua điện_máy xanh đột_nhiên liệu sập không đi bảo hành phức_tạp đi sữa tiền mua máy zin mới thành máy sửa_chữa cẩn_thận hề chạm thất_vọng,1
iphone-13,mới mua một tuần cảm thấy hài lòng pin dùng cũng được một ngày vì máy mới nên ok,mới mua tuần hài pin máy mới ok,4
iphone-13,tại sao iphone của tôi mới mua về dùng lại bị nóng máy,iphone mới mua nóng máy,3
iphone-13,cộng dây saka không vô có đổi được không ạ,cộng dây saka không vô đổi không,4
iphone-13,sao mình mua thương mà cảm thấy pin tụt khá nhanh với hay bị đo,mua thương pin tụt khá nhanh đo,3
iphone-13,mua giá 13tr990 thế mà về nhà xem giá trên web có 13tr690 là sao nhỉ từ hôm bận quá chưa cả có thời gian để thắc mắc luôn,mua giá giá web hôm bận thời_gian thắc_mắc,3
iphone-13,máy mua hàng đổi trả máy có trầy chổ nhưng không đáng kể máy mới pin xài ổn định mượt màn đẹp loa hay pin trâu xài wifi không game tiếng tuỳ tác vụ camera chụp hình quay video ngon cảm thấy hài lòng với p13 nhân viên tư vấn nhiệt tình ok,máy mua hàng đổi trả máy trầy chổ không máy mới pin xài ổn_định mượt màn đẹp loa pin trâu xài wifi không game tiếng tuỳ tác_vụ camera chụp hình video ngon hài p13 nhân_viên tư_vấn nhiệt_tình ok,5
iphone-13,điện thoại dùng mượt chụp hình đẹp pin dùng mãi chả thấy hết để sạc rất hài lòng ai đang định mua thì chọn luôn không phải lăn tăn nhé,điện_thoại mượt chụp hình đẹp pin mãi chả hết sạc hài định mua không lăn_tăn,5
iphone-13,cũng tạm hàng trưng bày có bị xước màn hình rồi nhưng mọi thứ dùng ổn pin nhưng hơi đuối tóm lại giá rẻ hơn mọi chỗ máy zin all chế độ bảo hành đổi trả kém hơn chỗ khác chút,tạm hàng trưng_bày xước màn_hình ổn pin hơi đuối tóm_lại giá rẻ chỗ máy zin all chế_độ bảo hành đổi trả kém chỗ chút,5
iphone-13,thiết kế mặt trước nhìn giống táo pro max quá nhìn cái kết em honor liền giao diện ok bắt mắt hiệu năng tốt trong tam gia tiec là không có nfc không hiểu iphone 8plus đã có nfc cách đây 7 năm honor ít kỷ với người dùng qua,thiết_kế mặt táo pro max kết honor liền giao_diện ok bắt_mắt hiệu_năng tốt trong_tam gia tiếc không NFC không iphone 8 plus NFC bảy honor kỷ người_dùng,5
iphone-13,sử dụng được tháng thấy rất ngon pin dùng tác vụ bình thường từ 6h sáng tới 78h tối thoải mái chơi game ngon nói chung là ok,ngon pin tác_vụ bình_thường 6 h 78 h tối thoải_mái game ngon ok,5
iphone-13,mua hồi tới nay tụt không biết có ổn hay không nữa dùng cũng ok thao tác thông thường fb zalo tiktok chắc được cỡ tiếng,mua hồi tụt không ổn không ok thao_tác thông_thường zalo tiktok cỡ tiếng,4
iphone-13,máy oke nếu sài nghe gọi coi fb video thời gian ngắn thì pin sài hơn ngày sạt 7h sáng sài tới 19h còn,máy ok sài gọi coi video thời_gian ngắn pin sài sạt 7 h sài 19 h,5
iphone-13,ngày tuột thêm đem ra thế giới di động nhân viên xem sơ xong kêu up phần mềm xem có cải thiện không rồi bán hàng kèm sách bảo hành mà không có nổi nhân viên có chuyên môn rồi gởi đi bảo hành ngày rất mất thời gian và cũng không biết là giải quyết được vấn đề hay không rất chán kiểu làm việc bán rồi thôi của chuỗi cửa hàng lớn như vậy,tuột đem thế_giới di_động nhân_viên sơ xong kêu up phần_mềm cải_thiện không hàng kèm sách bảo hành không nổi nhân_viên chuyên_môn gởi đi bảo hành thời_gian không giải_quyết vấn_đề không chán kiểu làm_việc chuỗi cửa_hàng,1
iphone-13,gọi video nói chuyện người khác không nghe gọi mess cũng vậy là sao cần được hỗ trợ gấp,gọi video nói_chuyện không gọi mess gấp,2
iphone-13,mới mua tháng dùng ít mà pin còn là sao vậy,mới mua pin,1
iphone-13,mua tới khi pin còn,mua pin,3
iphone-13,mới mua được hôm nói chuyện rất khó nghe đầu dây bên kia trả lời,mới mua hôm nói_chuyện đầu dây kia trả_lời,3
iphone-13,dùng ok,ok,4
iphone-13,tưởng chỉ có mỗi mình bị thôi nhưng đến một cũng đủ hiểu mình mua từ dùng rất kĩ luôn không dám chơi hay sạc nhiều mà hiện tại pin chỉ còn là sao nhỉ thề luôn cọc vãi,tưởng mua kĩ không dám sạc pin thề cọc vãi,1
iphone-13,pin không dùng mà vẫn tụt,pin không tụt,2
iphone-13,pin mới xài được ngày mà tụt còn 99 pin trước mình xài gần năm mới xuống pin,pin mới xài tụt 99 pin xài mới xuống pin,2
iphone-13,mình mới mua hôm dùng không hợp có nhu cầu đổi trả lại bên mình có nhận thu mua lại không và chính sách như nào nhỉ,mới mua hôm không hợp nhu_cầu đổi trả thu mua không chính_sách,5
iphone-13,mới mua tuần 14tr bán lại tầm giá nhiêu ai bán để lên,mới mua tuần tầm giá nhiêu,3
iphone-13,mới mua ngày mà sao điện thoại thường xuyên bị đơ màn gõ nhanh bị đơ tầm giây lướt shoppe cũng đơ luôn,mới mua điện_thoại thường_xuyên đơ màn gõ nhanh đơ tầm giây lướt shoppe đơ,3
iphone-13,dùng tháng và pin còn sài cũng kĩ lắm rồi mà tụt pin nhân viên thì quá nhanh,pin sài kĩ lắm tụt pin nhân_viên nhanh,3
iphone-13,bắt sóng wifi kém,bắt sóng wifi kém,3
iphone-13,chưa dùng được tháng pin đã tụt xuống,pin tụt xuống,3
iphone-13,máy mới mua về gọi video chập chờn bên người nghe không nghe rõ lúc được lúc không đi bảo hành cả ngày không ra lỗi về dùng vẫn thế chất lượng dịch vụ quá kém,máy mới mua gọi video chập_chờn không không đi bảo hành không lỗi chất_lượng dịch_vụ kém,1
iphone-13,đã mua và dùng rất thích nhưng mỗi tội màn hình hơi nhỏ,mua tội màn_hình hơi nhỏ,5
iphone-13,iphone sao không thể tắt âm khi quay số và tiếng người đọc khi có cuộc gọi đến của tất cả ứng dụng vậy mà ai biết cách giúp với mua được tháng tụt pin rồi,iphone không thể tắt âm tiếng đọc cuộc_gọi ứng_dụng giúp mua tụt pin,3
iphone-13,mua ngày cho đến hiện tại pin còn vậy mình muốn bán lại thì giá bao nhiêu tình trạng máy không bị trầy xước,mua pin giá bao nhiêu máy không trầy xước,2
