product_id,comment,comment_clean_stage1,comment_clean_stage2,rating,positive,negative
mobell-m539,mượt như iphone 15 vậy mấy má,mượt như iphone 15 vậy mấy má!,mượt iphone 15 mấy má,5,1,0
mobell-m539,"Tôi mới mua dùng rất tốt,nhưng lại không thể nghe đài FM được TGDD ạ","tôi mới mua dùng rất tốt, nhưng lại không thể nghe đài fm được, thế giới di động ạ!",mới mua dùng rất tốt nhưng không_thể đài fm được thế_giới di_động,5,1,0
mobell-m539,Tốt,tốt.,tốt,5,1,0
mobell-m539,"Điện thoại đã qua sử dụng nhưng dùng vẫn tốt, ít nghe gọi pin được khoảng gần 2 tuần Nhân viên DMX nhiệt tình, thân thiện","điện thoại đã qua sử dụng nhưng dùng vẫn tốt, ít nghe gọi, pin được khoảng gần hai tuần, nhân viên m. nhiệt tình, thân thiện.",điện_thoại sử_dụng nhưng dùng tốt ít gọi pin được hai tuần nhân_viên m nhiệt_tình thân_thiện,5,1,0
mobell-m539,Tạm ổn,tạm ổn.,tạm ổn,4,1,0
mobell-m539,Dùng tốt,dùng tốt.,dùng tốt,5,1,0
mobell-m539,Sản phẩm tốt 👍👍👍,"sản phẩm tốt,,.",sản_phẩm tốt,5,1,0
mobell-m539,Điện thoại giá rẻ rất OK,điện thoại giá rẻ rất ok.,điện_thoại giá rẻ rất ok,4,1,0
mobell-m539,Tốt,tốt.,tốt,5,1,0
mobell-m539,"Máy đã qua sử dụng nhưng pin dùng vẫn lâu,nghe gọi được 4 ngày,để máy chờ được 10 ngày","máy đã qua sử dụng nhưng pin dùng vẫn lâu, nghe gọi được bốn ngày, để máy chờ được mười ngày.",máy sử_dụng nhưng pin dùng lâu gọi được bốn máy chờ được mười,5,1,0
mobell-m539,Hiện tại tôi đang sử dụng điện thoại tam ôn về lâu dài chưa biết được. Cảm ơn TGDD quan tâm đến khách hàng.,hiện tại tôi đang sử dụng điện thoại tam ôn về lâu dài chưa biết được. cảm ơn thế giới di động quan tâm đến khách hàng.,sử_dụng điện_thoại tam ổn lâu_dài chưa được cảm_ơn thế_giới di_động quan_tâm khách_hàng,3,1,0
mobell-m539,Máy dùng ổn loa to rõ cho người cao tuổi,"máy dùng ổn, loa to rõ, cho người cao tuổi.",máy dùng ổn loa to rõ cao_tuổi,5,1,0
mobell-m539,"Máy rất tốt ! Đầy đủ mọi chức năng . nhanh nhạy , màu sắc đẹp ! Dễ sử dụng ! Máy mới tinh . Tôi rất hài lòng .","máy rất tốt ! đầy đủ mọi chức năng . nhanh nhạy , màu sắc đẹp ! dễ sử dụng ! máy mới tinh . tôi rất hài lòng .",máy rất tốt đầy_đủ chức_năng nhanh_nhạy màu_sắc đẹp dễ sử_dụng máy mới_tinh rất hài_lòng,5,1,0
mobell-m539,Pin trâu máy nghe gọi tốt,pin trâu máy nghe gọi tốt.,pin trâu máy gọi tốt,5,1,0
mobell-m539,"Màn hình chữ lớn, dễ sử dụng. Loa lớn.","màn hình chữ lớn, dễ sử dụng. loa lớn.",màn_hình chữ lớn dễ sử_dụng loa lớn,5,1,0
mobell-m539,Sản phẩm tốt,sản phẩm tốt.,sản_phẩm tốt,4,1,0
mobell-m539,Loa nghe rõ.pin lâu hết.,loa nghe rõ.pin lâu hết.,loa rõ pin lâu hết,5,1,0
mobell-m539,"Sản phẩm đẹp,dễ sử dụng tôi rất thích.","sản phẩm đẹp, dễ sử dụng tôi rất thích.",sản_phẩm đẹp dễ sử_dụng rất thích,5,1,0
mobell-m539,Nó cứ hơi đơ đơ một chút,nó cứ hơi đơ đơ một chút.,hơi đơ đơ một_chút,3,1,1
mobell-m539,tam on,tam on.,tam on,4,1,0
mobell-m539,Rất ấn tượng,rất ấn tượng.,rất ấn_tượng,5,1,0
mobell-m539,Sản phẩm sử dụng tốt mn nên mua nha,sản phẩm sử dụng tốt mọi người nên mua nha!.,sản_phẩm sử_dụng tốt nên mua nha,5,1,0
mobell-m539,ok,ok!,ok,5,1,0
mobell-m539,Xài tốt,xài tốt.,xài tốt,4,1,0
mobell-m539,Rất tốt,rất tốt.,rất tốt,5,1,0
mobell-m539,T mua 2c cái trc đó 1thag xài ok pin trâu . Cái sau thì nhanh di pin hơn. Bàn phím dễ xài cho ng lớn tuổi .nói chung là ok rất đáng mua,"tôi mua 2 cái trước đó, 1thay xài ok pin trâu . cái sau thì nhanh di pin hơn. bàn phím dễ xài cho người lớn tuổi .nói chung là ok, rất đáng mua.",mua hai 1thay xài ok pin trâu nhanh di pin hơn bàn_phím dễ xài lớn_tuổi nói_chung ok rất đáng mua,4,1,0
mobell-m539,Good,good!,good,4,1,0
mobell-m539,"Sản phẩm nhìn còn rất mới ,sử dụng rất OK và tiện ích rất nhiều","sản phẩm nhìn còn rất mới , sử dụng rất ok và tiện ích rất nhiều.",sản_phẩm rất mới sử_dụng rất ok tiện_ích rất nhiều,5,1,0
mobell-m539,Bình thường,bình thường.,bình_thường,3,1,0
mobell-m539,0k tốt,0k tốt.,không tốt,4,1,0
mobell-m539,Sp dùng ok,sản phẩm dùng ok.,sản_phẩm dùng ok,5,1,0
mobell-m539,Rất ok,rất ok.,rất ok,5,1,0
mobell-m539,Tuyệt vời,tuyệt vời.,tuyệt_vời,5,1,0
mobell-m539,"Mua lần đầu máy rất ngốn pin dù ko nghe gọi ko vào mạng , ko dùng nổi 24h , sau khi đổi máy mới chất lượng tốt hẳn , thời gian chờ đã quá 4 ngày chưa hết pin","mua lần đầu máy rất ngốn pin dù không nghe gọi, không vào mạng , không dùng nổi 24h , sau khi đổi máy mới chất lượng tốt hẳn , thời gian chờ đã quá bốn ngày chưa hết pin.",mua đầu_máy rất ngốn pin dù không gọi không mạng không dùng nổi 24h đổi máy mới chất_lượng tốt hẳn thời_gian chờ quá bốn chưa hết pin,4,0,1
mobell-m539,Sản phẩm tốt,sản phẩm tốt.,sản_phẩm tốt,4,1,0
mobell-m539,Tôi thấy dũng rất tốt..,tôi thấy dũng rất tốt..,thấy dũng rất tốt,5,1,0
mobell-m539,Nên mua nha mọi người.sản phẩm xài rất ok,nên mua như mọi người.sản phẩm xài rất ok.,nên mua người sản phẩm xài rất ok,5,1,0
mobell-m539,"Đã điện thoại cục gạch thì ko cần phải thêm 4G, Kết nối internet làm làm. Nếu cần 4G thì KH đã mua smatphone","đã điện thoại cục gạch thì không cần phải thêm 4g, kết nối internet làm làm.., nếu cần 4g thì không đã mua simphone.",điện_thoại cục gạch không cần phải thêm 4g kết_nối internet làm làm nếu cần 4g không mua simphone,4,1,1
mobell-m539,Sản phẩm đẹp. Nghe ngọi rõ ràng,"sản phẩm đẹp. nghe, ngọi rõ ràng.",sản_phẩm đẹp ngọi rõ_ràng,5,1,0
mobell-m539,"máy của e mới mua hôm qua, về nhà kiểm tra lại thấy màn hình bị ố sáng hay hở sáng gì đấy e đổi máy mới được k ạ…","máy của em mới mua hôm qua, về nhà kiểm tra lại thấy màn hình bị ố sáng hay hở sáng gì đấy em đổi máy mới được không ạ...",máy mới mua hôm_qua kiểm_tra thấy màn_hình bị ố sáng hay hở sáng gì đấy đổi máy mới được không,3,1,1
mobell-m539,Điện thoại loa hơi rè có cách nào khắc phục không ạ,"điện thoại loa hơi rè, có cách nào khắc phục không ạ?",điện_thoại loa hơi rè nào khắc_phục không,4,1,1
mobell-m539,Sp chữ to rõ pin khá trâu,"sản phẩm chữ to rõ, pin khá trâu.",sản_phẩm chữ to rõ pin khá trâu,4,1,0
mobell-m539,"Bàn phím to, chữ trên màn hình rõ ràng, Pin nghe nhạc lâu 👍","bàn phím to, chữ trên màn hình rõ ràng, pin nghe nhạc lâu.",bàn_phím to chữ trên màn_hình rõ_ràng pin nhạc lâu,5,1,0
mobell-m539,xxxx887398,xxxx887398.,,4,1,1
nokia-105-4g-pro,Đt dùng chưa được 3 tháng cục sạc đã hư,điện thoại dùng chưa được ba tháng cục sạc đã hư.,điện_thoại dùng chưa được cục sạc hư,3,0,1
nokia-105-4g-pro,Mình vừa mua điện thoại vào 25/11/2024 nhưng hiện tại muốn đổi qua máy HDM 105 có được không,mình vừa mua điện thoại vào 25/11/2024 nhưng hiện tại muốn đổi qua máy hdm 105 có được không?,mua điện_thoại 2511 nhưng muốn đổi máy hdm được không,4,1,1
nokia-105-4g-pro,Máy mua dùng được hơn 1 tháng ok sau đó ko nhận sim vẫn báo có cột sóng . Cuộc gọi cả 2 chiều ko thực hiện được . Mong sớm nhận được phản hồi,"máy mua dùng được hơn một tháng, ok, sau đó không nhận sim vẫn báo có cột sóng . cuộc gọi cả hai chiều không thực hiện được . mong sớm nhận được phản hồi.",máy mua dùng được hơn ok không nhận sim báo cột sóng cuộc_gọi hai chiều không được mong sớm nhận được phản_hồi,3,1,1
nokia-105-4g-pro,Làm sao tắt được âm thanh bàn phím vậy,làm sao tắt được âm thanh bàn phím vậy?,làm_sao tắt được âm_thanh bàn_phím,3,1,1
nokia-105-4g-pro,"Mình dùng 2 sim nhưng khi gọi chỉ có sim 1 gọi được, sim 2 thì báo dùng đth 2G. Có cách nào khắc phục k ạ","mình dùng hai sim nhưng khi gọi chỉ có sim một gọi được, sim hai thì báo dùng để... 2g. có cách nào khắc phục không ạ?",dùng hai sim nhưng gọi chỉ sim gọi được sim hai báo dùng 2g nào khắc_phục không,3,1,1
nokia-105-4g-pro,Chuyển tắt đài FM khỏi màn hình bằng cách nào vậy Có thể thay thế phím FM bằng ứng dụng khác không,"chuyển tắt đài fm khỏi màn hình bằng cách nào vậy, có thể thay thế phím fm bằng ứng dụng khác không?",chuyển tắt đài fm màn_hình nào thay_thế phím fm ứng_dụng không,3,1,1
nokia-105-4g-pro,"Máy sử dụng ok, khoảng 4,5 ngày mới hết pin","máy sử dụng ok, khoảng 4,5 ngày mới hết pin.",máy sử_dụng ok 45 mới hết pin,5,1,1
nokia-105-4g-pro,Chuyển tắt đài FM khỏi màn hình bằng cách nào vậy,chuyển tắt đài fm khỏi màn hình bằng cách nào vậy?,chuyển tắt đài fm màn_hình nào,4,1,1
nokia-105-4g-pro,đã mua xài rất tốt ..mọi người nên tắt sóng 4G đi đở hao pin hơn,đã mua xài rất tốt ..mọi người nên tắt sóng 4g đi để hao pin hơn.,mua xài rất tốt nên tắt sóng 4g đi hao pin hơn,5,1,1
nokia-105-4g-pro,"Thực sự là bên làm phần mềm thiếu rất nhiều cái, k tắt được khóa bàn phím, k đổi được nhạc chuông. Cũng chỉ là tính năng cơ bản nhưng con có con không","thực sự là bên làm phần mềm thiếu rất nhiều cái, không tắt được bàn phím, không đổi được nhạc chuông.., cũng chỉ là tính năng cơ bản nhưng còn có con không.",thực_sự làm phần_mềm thiếu rất nhiều không tắt được bàn_phím không đổi được nhạc chuông chỉ tính_năng cơ_bản nhưng không,3,0,1
nokia-105-4g-pro,"Làm sao tắt âm thanh nhấn phím, tìm mãi không thấy","làm sao tắt âm thanh, nhấn phím, tìm mãi không thấy?",làm_sao tắt âm_thanh nhấn phím mãi không thấy,4,1,1
nokia-105-4g-pro,"Im, sóng khỏe,NV nhiệt tình chu đáo, sản phẩm nghe gọi OK xuất sắc","im, sóng, v.v nhiệt tình, chu đáo, sản phẩm nghe gọi ok xuất sắc.",im sóng vv nhiệt_tình chu_đáo sản_phẩm gọi ok xuất_sắc,5,1,1
nokia-105-4g-pro,Mới mua lên k biết như nào nhưng kỹ htro chuyển hoặc tắt đài FM ra khỏi màn hình để cho người lớn tuổi k bị nhầm. mong phản hồi sớm,mới mua lên không biết như nào nhưng kỹ hổ chuyển hoặc tắt đài fm ra khỏi màn hình để cho người lớn tuổi không bị nhầm. mong phản hồi sớm.,mới mua lên không nào nhưng kỹ hổ chuyển tắt đài fm màn_hình lớn_tuổi không bị nhầm mong phản_hồi sớm,4,0,0
nokia-105-4g-pro,Lúc mua tư vấn mình là máy 4G sao lai hiên lên là 2G nhỉ,lúc mua tư vấn mình là máy 4g sao lại hiên lên là 2g nhỉ?,mua tư_vấn máy 4g sao hiên lên 2g nhỉ,4,1,1
nokia-105-4g-pro,"Pin khá trâu, dùng tầm 1 tuần.Thấy mn đánh giá pin yếu cũng khá hoang mang. Có vẻ mọi người để cài đặt mặc định, nó sẽ tự bật dữ liệu di động chữ 4G sẽ hiện trên thanh sóng nên sẽ tụt pin rất nhanh.Mua cho người lớn, nghe gọi to rõ.Không có gì để chê","pin khá trâu, dùng tầm một tuần.thấy mọi người đánh giá pin yếu cũng khá hoang mang. có vẻ mọi người để cài đặt mặc định, nó sẽ tự bật dữ liệu di động, chữ 4g sẽ hiện trên thanh sóng nên sẽ tụt pin rất nhanh.mua cho người lớn, nghe gọi to rõ.không có gì để chê.",pin khá trâu dùng tầm tuầnthấy đánh_giá pin yếu khá hoang_mang có_vẻ cài_đặt mặc_định bật dữ_liệu di_động chữ 4g hiện trên sóng nên tụt pin rất nhanhmua người_lớn gọi to rõkhông gì chê,5,1,0
nokia-105-4g-pro,Xin cho hỏi cách cài chỉ rung cho đt này,xin cho hỏi cách cài chỉ rung cho điện thoại này.,hỏi cài chỉ rung điện_thoại,4,1,1
nokia-105-4g-pro,"Đt khá ổn trong tầm giá vẫn giữ nguyên cái chất của cụt gạch nhà NOKIA hiện tại đàm thoại rất ok hy vọng là sẽ sử dụng lâu dài,do mình mua cho Mẹ mình sài nên mình nghĩ càn bềnh thì mình càng vui ...","điện thoại khá ổn trong tầm giá vẫn giữ nguyên cái chất của cụt gạch nhà nokia hiện tại đàm thoại rất ok hy vọng là sẽ sử dụng lâu dài,do mình mua cho mẹ mình sài nên mình nghĩ càng bềnh thì mình càng vui ...",điện_thoại khá ổn trong tầm giá giữ nguyên chất cụt gạch nokia đàm_thoại rất ok hy_vọng sử_dụng lâu dàido mua mẹ xài nên càng bềnh càng vui,5,1,0
nokia-105-4g-pro,Xin hỗ trợ cài quay số nhanh,xin hỗ trợ cài quay số nhanh.,hỗ_trợ cài nhanh,4,1,1
nokia-105-4g-pro,"mình mới mua điện thoại tại tgdd, mà sao điện thoại không hỗ trợ nhắn tin, nhắn tin toàn bị lỗi cả thôi, gọi điện thoại thì tốt.","mình mới mua điện thoại tại tgdd, mà sao điện thoại không hỗ trợ nhắn tin, nhắn tin toàn bị lỗi cả thôi, gọi điện thoại thì tốt.",mới mua điện_thoại tgdd mà sao điện_thoại không hỗ_trợ nhắn_tin nhắn_tin toàn bị lỗi gọi điện_thoại tốt,3,1,1
nokia-105-4g-pro,Cho mình hỏi tíMình có mua máy nàyGiờ muốn đổi sang máy khác đc ko.Máy này chữ nhỏ quá bà nhà mình ko dùng đc,"cho mình hỏi, tímình có mua máy này giờ muốn đổi sang máy khác được ko.máy này chữ nhỏ quá bà nhà mình không dùng được.",hỏi tímình mua máy muốn đổi máy được komáy chữ nhỏ quá không dùng được,5,1,1
nokia-105-4g-pro,"tôi mới mua máy, nó báo có bản cập nhật mới, nhưng khi tôi cập nhật lại báo cant find load file, shop coi sao có phải mang ra kỹ thuật ko ạ. Shop phản hồi sớm giúp mình nhé","tôi mới mua máy, nó báo có bản cập nhật mới, nhưng khi tôi cập nhật lại báo cant find load file, shop coi sao, có phải mang ra kỹ thuật không ạ. shop phản hồi sớm giúp mình nhé.",mới mua máy báo cập_nhật mới nhưng cập_nhật báo cant find load file shop coi sao phải mang kỹ_thuật không shop phản_hồi sớm giúp,3,1,1
nokia-105-4g-pro,Mới mua hôm 30/5. Pin kèm máy dùng đến sáng 3/6 mới sạc pin lần đầu. Nói chung ban đầu thấy ổn. Nhân viên siêu thị giao hàng tận nơi. Nhiệt tình cho dù đi giao hơi xa. Cảm ơn,mới mua hôm 30/5. pin kèm máy dùng đến sáng 3/6 mới sạc pin lần đầu. nói chung ban đầu thấy ổn. nhân viên siêu thị giao hàng tận nơi. nhiệt tình cho dù đi giao hơi xa. cảm ơn.,mới mua hôm 305 pin kèm máy dùng sáng 36 mới sạc pin đầu nói_chung ban_đầu thấy ổn nhân_viên siêu_thị giao hàng tận nhiệt_tình cho_dù đi giao hơi cảm_ơn,5,1,0
nokia-105-4g-pro,Sản phẩm bước đầu xài rất tốt.,sản phẩm bước đầu xài rất tốt.,sản_phẩm bước_đầu xài rất tốt,5,1,0
nokia-110-4g-pro,"Loa to, nghe nhạc hay. Pin nhanh hết, lắp 2 sim chỉ đc 34 ngày nếu nghe gọi ít. Thiết kế nhỏ gọn cứng cáp, cổng sạc theo chuẩn micro usb khó cắm sạc","loa to, nghe nhạc hay. pin nhanh hết, lắp hai sim chỉ được 34 ngày nếu nghe gọi ít. thiết kế nhỏ gọn, cứng cáp, cổng sạc theo chuẩn micro usb, khó cắm sạc.",loa to nhạc hay pin nhanh hết lắp hai sim chỉ được 34 nếu gọi ít thiết_kế nhỏ gọn cứng_cáp cổng sạc chuẩn micro usb khó cắm sạc,3,1,0
nokia-110-4g-pro,"SP tốt,dùng ổn,giá tốt","sản phẩm tốt, dùng ổn, giá tốt.",sản_phẩm tốt dùng ổn giá tốt,5,1,0
nokia-110-4g-pro,"Khi nghe gọi và nhắn tin , hoặc hộp thư đến tiếng chuông điện thoại reo to lắm nhưng cũng okie dùng đc 4 tuần rồi pin thì trâu ko thấy lỗi gì cả","khi nghe gọi và nhắn tin , hoặc hộp thư đến, tiếng chuông điện thoại reo to lắm nhưng cũng chỉ dùng được bốn tuần rồi pin thì trâu không thấy lỗi gì cả.",gọi nhắn_tin hộp_thư tiếng chuông điện_thoại reo to lắm nhưng chỉ dùng được bốn tuần pin trâu không thấy lỗi gì,5,1,0
nokia-110-4g-pro,Tôi mua điện thoại xài được 10 ngày. Cuộc gọi đến không có hiển thị tên người gọi. Mong tư vấn giúp với ạ.,tôi mua điện thoại xài được mười ngày. cuộc gọi đến không có hiển thị tên người gọi. mong tư vấn giúp với ạ.,mua điện_thoại xài được mười cuộc_gọi không hiển_thị gọi mong tư_vấn giúp,4,1,1
nokia-110-4g-pro,"Pin tụt nhanh quá, 1 ngày không dùng mà cũng hết pin nữa","pin tụt nhanh quá, một ngày không dùng mà cũng hết pin nữa.",pin tụt nhanh quá không dùng mà hết pin,3,0,1
nokia-110-4g-pro,sao mình điện người ta khôn đổ chuông,sao mình điện người ta không đổ chuông?,sao điện ta không đổ chuông,3,0,1
nokia-110-4g-pro,người ta gọi tới ko hiển thị tên mặc dù đã lưu ten trong danh bạ. chỉ mình cách khắc phục đi ạ,"người ta gọi tới không hiển thị tên mặc dù đã lưu tên trong danh bạ.., chỉ mình cách khắc phục đi ạ!",ta gọi không hiển_thị mặc_dù lưu trong danh_bạ chỉ khắc_phục đi,3,0,1
nokia-110-4g-pro,"Nghe gọi rõ, pin trâu","nghe gọi rõ, pin trâu.",gọi rõ pin trâu,5,1,0
nokia-110-4g-pro,Có tính năng quay số nhanh không Sao mình đã gán số vào rồi nhưng k dùng được,"có tính năng quay số nhanh không sao, mình đã gán số vào rồi nhưng không dùng được.",tính_năng nhanh không sao gán nhưng không dùng được,3,1,1
nokia-110-4g-pro,sạc theo máy để là 5w nhưng thực tế chỉ có 2.75w hỏi nhân viên thì nói không biết,"sạc theo máy để là 5.500w nhưng thực tế chỉ có 2.75w, hỏi nhân viên thì nói không biết.",sạc máy 5500w nhưng thực_tế chỉ 275w hỏi nhân_viên nói không,3,0,1
nokia-110-4g-pro,ok mà hơi khó thao tác phím,ok mà hơi khó thao tác phím.,ok mà hơi khó thao_tác phím,4,1,0
nokia-110-4g-pro,"Sản phẩm ở mức trung bình. Sp hơi khó SD với người già. Chứng năng khóa màn hình hơi cùi. DV nhanh chóng, giao nhanh trong vòng 24h. Rất đáng để mua. Ăn đứt vt giao trong vòng 35 ngày.","sản phẩm ở mức trung bình. sản phẩm hơi khó sử dụng với người già. chứng năng màn hình hơi cùi. dv nhanh chóng, giao nhanh trong vòng 24h. rất đáng để mua. ăn đứt và giao trong vòng 35 ngày.",sản_phẩm trung_bình sản_phẩm hơi khó sử_dụng già chứng năng màn_hình hơi cùi dv nhanh_chóng giao nhanh trong vòng 24h rất đáng mua ăn_đứt giao trong vòng 35,5,1,0
nokia-110-4g-pro,"chất lượng thì k biết như nào nhưng máy êm, đèn pin hơi tối, máy nhẹ, ngoại hình đẹp k chổ chê.","chất lượng thì không biết như nào nhưng máy êm, đèn pin hơi tối, máy nhẹ, ngoại hình đẹp không chổ chê.",chất_lượng không nào nhưng máy êm đèn_pin hơi tối máy nhẹ ngoại_hình đẹp không chổ chê,4,1,0
nokia-110-4g-pro,"Điện thoại tốt, pin trâu, mua cho ng lớn tuổi dùng rất ok.","điện thoại tốt, pin trâu, mua cho người lớn tuổi dùng rất ok.",điện_thoại tốt pin trâu mua lớn_tuổi dùng rất ok,5,1,0
nokia-110-4g-pro,"Chữ hơi nhỏ, người lớn tuổi xài sẽ khó nhìn chữ","chữ hơi nhỏ, người lớn tuổi xài sẽ khó nhìn chữ.",chữ hơi nhỏ lớn_tuổi xài khó chữ,3,0,1
nokia-110-4g-pro,"Máy nhỏ,gọn, đẹp","máy nhỏ, gọn, đẹp.",máy nhỏ gọn đẹp,5,1,0
nokia-220-4g,Loa nghe đôi lúc nghe không rõ bị rè loa không biết có đổi sang máy khác được không . Mua chưa được 1 tháng,"loa nghe đôi lúc nghe không rõ, bị rè, loa không biết có đổi sang máy khác được không . mua chưa được một tháng.",loa đôi_lúc không rõ bị rè loa không đổi máy được không mua chưa được,3,0,0
nokia-220-4g,Cần tư vấn rời đài đi. Cài dài vào chỗ đó làm j mà bấm bực mjk ghê,cần tư vấn rời đài đi. cài dài vào chỗ đó làm gì mà bấm bực mình ghê.,cần tư_vấn rời đài đi cài dài chỗ làm gì mà bấm bực_mình ghê,5,0,1
nokia-220-4g,Sao mà nhanh hết pin thế,sao mà nhanh hết pin thế?,sao mà nhanh hết pin,3,0,1
nokia-220-4g,Phần tin nhắn ko tách được số điện thoại . Rất bất tiện,phần tin nhắn không tách được số điện thoại . rất bất tiện.,tin nhắn không tách được điện_thoại rất bất_tiện,4,0,0
nokia-220-4g,Phím Fm không dời đi được. Hay bị bấm vô.,phím fm không dời đi được. hay bị bấm vô.,phím fm không dời đi được hay bị bấm vô,3,1,1
nokia-220-4g,"Cách đây 2 tuần tôi có mua 1 điện thoại Nokia 220 4G màu đen ở TGDĐ Mỏ Cày Bắc, Bến Tre và sử dụng, vừa mới đây vào ngày 10/10 tôi mua thêm 1 Nokia 220 4G màu cam đào của PTech là đơn vị phân phối chính hãng dòng máy này. Khi để 2 máy cạnh nhau và bấm phím tôi mới để ý thấy máy màu đen mua ở TGDĐ có đèn bàn phím bị rất tối. Tôi phản ánh vấn đề này nhờ phía kỹ thuật hỗ trợ giúp Thứ 2 nữa là khi kết nối tai nghe bluetooth tình trạng lúc được lúc không điện thoại tự ngắt kết nối rồi lại tự động kết nối trở lại rồi lát lại ngắt cứ lặp đi lặp lại như vậy. Tôi đang dùng tai nghe bluetooth chính hãng Plantronic Explorer 500, vẫn sử dụng với iPhone rất ổn định.","cách đây hai tuần tôi có mua một điện thoại nokia 220 4g màu đen ở tgdđ mỏ cày bắc, bến tre và sử dụng, vừa mới đây vào ngày 10/10 tôi mua thêm một nokia 220 4g màu cam đào của ptech là đơn vị phân phối chính hãng dòng máy này. khi để hai máy cạnh nhau và bấm phím tôi mới để ý thấy máy màu đen mua ở tgdđ có đèn bàn phím bị rất tối. tôi phản ánh vấn đề này nhờ phía kỹ thuật hỗ trợ giúp thứ hai nữa là khi kết nối tai nghe bluetooth tình trạng lúc được lúc không điện thoại tự ngắt kết nối rồi lại tự động kết nối trở lại rồi lát lại ngắt cứ lặp đi lặp lại như vậy. tôi đang dùng tai nghe bluetooth chính hãng plantronic explorer 500, vẫn sử dụng với iphone rất ổn định.",hai tuần mua điện_thoại nokia 4g màu đen thế_giới di_động mỏ_cày bắc bến_tre sử_dụng 1010 mua thêm nokia 4g màu camera đào ptech phân_phối chính hãng dòng máy hai máy cạnh bấm phím mới để_ý thấy máy màu đen mua thế_giới di_động đèn bàn_phím bị rất tối phản_ánh vấn_đề kỹ_thuật hỗ_trợ giúp hai kết_nối tai bluetooth tình_trạng được không điện_thoại ngắt kết_nối tự_động kết_nối trở_lại lát ngắt lặp_đi_lặp_lại dùng tai bluetooth chính hãng plantronic explorer sử_dụng iphone rất ổn_định,4,1,0
nokia-220-4g,Có thể đổi phím FM radio được ko,có thể đổi phím fm radio được không?,đổi phím fm radio được không,5,1,1
nokia-220-4g,Pin trâu thứ thiệt,pin trâu thứ thiệt.,pin trâu thứ_thiệt,4,1,0
nokia-220-4g,Có thể nào tắt hoặc dời nút đài fm k,có thể nào tắt hoặc dời nút đài fm không?,nào tắt dời nút đài fm không,3,1,1
nokia-220-4g,"Máy được thiết kiểu dáng đẹp, độ hoàn thiện cao, cầm nắm tốt, loa to sóng bao khỏe ,. Đối với pin nghe gọi là 2/3 ngày mới sạc 1 lần, nghe nhạc lướt wed youtube 1 ngày...nói chung nokia thì rất ổn áp","máy được thiết kiểu dáng đẹp, độ hoàn thiện cao, cầm nắm tốt, loa to, sóng bao ,... đối với pin nghe gọi là 2/3 ngày mới sạc một lần, nghe nhạc, lướt web, youtube một ngày... nói chung nokia thì rất ổn áp.",máy được thiết kiểu_dáng đẹp độ hoàn_thiện cao cầm nắm tốt loa to sóng bao pin gọi 23 mới sạc nhạc lướt web nói_chung nokia rất ổn_áp,4,1,0
