product_id,comment,comment_clean,rating
mobell-m539,sản phẩm sử dụng tốt mọi người nên mua nha,sản_phẩm tốt mua nha,5
mobell-m539,ok,ok,5
mobell-m539,xài tốt,xài tốt,4
mobell-m539,rất tốt,tốt,5
mobell-m539,tôi mua 2 cái trước đó 1 tháng xài ok pin trâu cái sau thì nhanh di pin hơn bàn phím dễ xài cho người lớn tuổi nói chung là ok rất đáng mua,mua hai xài ok pin trâu nhanh di pin bàn_phím dễ xài người_lớn ok mua,4
mobell-m539,good,good,4
mobell-m539,sản phẩm nhìn còn rất mới sử dụng rất ok và tiện ích rất nhiều,sản_phẩm mới ok tiện_ích,5
mobell-m539,bình thường,bình_thường,3
mobell-m539,không tốt,không tốt,4
mobell-m539,sản phẩm dùng ok,sản_phẩm ok,5
mobell-m539,rất ok,ok,5
mobell-m539,tuyệt vời,tuyệt_vời,5
mobell-m539,mua lần đầu máy rất ngốn pin dù không nghe gọi không vào mạng không dùng nổi 24h sau khi đổi máy mới chất lượng tốt hẳn thời gian chờ đã quá ngày chưa hết pin,mua đầu máy ngốn pin không gọi không mạng không nổi 24 h đổi máy mới chất_lượng tốt hẳn thời_gian chờ hết pin,4
mobell-m539,sản phẩm tốt,sản_phẩm tốt,4
mobell-m539,tôi thấy dũng rất tốt,dũng tốt,5
mobell-m539,nên mua như mọi người sản phẩm xài rất ok,mua sản_phẩm xài ok,5
mobell-m539,đã điện thoại cục gạch thì không cần phải thêm 4g kết nối internet làm gì nếu cần 4g thì khi đã mua sim phone,điện_thoại cục gạch không 4g kết_nối internet 4g mua sim phone,4
mobell-m539,sản phẩm đẹp nghe ngọi rõ ràng,sản_phẩm đẹp ngọi rõ_ràng,5
mobell-m539,máy của em mới mua hôm qua về nhà kiểm tra lại thấy màn hình bị ố sáng hay hở sáng gì đấy em đổi máy mới được không ạ,máy mới mua hôm_qua kiểm_tra màn_hình ố hở đấy đổi máy mới không,3
mobell-m539,điện thoại loa hơi rè có cách nào khắc phục không ạ,điện_thoại loa hơi rè khắc_phục không,4
mobell-m539,sản phẩm chữ to rõ pin khá trâu,sản_phẩm chữ to pin khá trâu,4
mobell-m539,bàn phím to chữ trên màn hình rõ ràng pin nghe nhạc lâu,bàn_phím to chữ màn_hình rõ_ràng pin nhạc,5
nokia-105-4g-pro,điện thoại dùng chưa được tháng cục sạc đã hư,điện_thoại cục sạc hư,3
nokia-105-4g-pro,mình vừa mua điện thoại vào nhưng hiện tại muốn đổi qua máy hdm có được không,mua điện_thoại đổi máy hdm không,4
nokia-105-4g-pro,máy mua dùng được hơn tháng nay sau đó không nhận sim vẫn báo có cột sóng cuộc gọi cả chiều không thực hiện được mong sớm nhận được phản hồi,máy mua không sim báo cột sóng cuộc_gọi chiều không mong phản_hồi,3
nokia-105-4g-pro,làm sao tắt được âm thanh bàn phím vậy,tắt âm_thanh bàn_phím,3
nokia-105-4g-pro,mình dùng sim nhưng khi gọi chỉ có sim gọi được sim thì báo dùng đth 2g có cách nào khắc phục không ạ,sim gọi sim gọi sim báo đth 2 g khắc_phục không,3
nokia-105-4g-pro,chuyển tắt đài fm khỏi màn hình bằng cách nào vậy có thể thay thế phím fm bằng ứng dụng khác không,tắt đài fm màn_hình thể thay_thế phím fm ứng_dụng không,3
nokia-105-4g-pro,máy sử dụng được khoảng ngày mới hết pin,máy mới hết pin,5
nokia-105-4g-pro,chuyển tắt đài fm khỏi màn hình bằng cách nào vậy,tắt đài fm màn_hình,4
nokia-105-4g-pro,đã mua xài rất tốt mọi người nên tắt sóng 4g đi để hao pin hơn,mua xài tốt tắt sóng 4g đi hao pin,5
nokia-105-4g-pro,thực sự là bên làm phần mềm thiếu rất nhiều cái không tắt được bàn phím không đổi được nhạc chuông cũng chỉ là tính năng cơ bản nhưng còn có con không,phần_mềm không tắt bàn_phím không đổi nhạc_chuông tính_năng cơ_bản không,3
nokia-105-4g-pro,làm sao tắt âm thanh nhấn phím tìm mãi không thấy,tắt âm_thanh nhấn phím mãi không,4
nokia-105-4g-pro,âm thanhn và nhiệt tình chu đáo sản phẩm nghe gọi ok xuất sắc,âm thanhn nhiệt_tình chu_đáo sản_phẩm gọi ok xuất_sắc,5
nokia-105-4g-pro,mới mua lên không biết như nào nhưng kỹ thuật chuyển hoặc tắt đài fm ra khỏi màn hình để cho người lớn tuổi không bị nhầm mong phản hồi sớm,mới mua không kỹ_thuật tắt đài fm màn_hình người_lớn không nhầm mong phản_hồi,4
nokia-105-4g-pro,lúc mua tư vấn mình là máy 4g sao lại hiên lên là 2g nhỉ,mua tư_vấn máy 4g hiên 2 g,4
nokia-105-4g-pro,pin khá trâu dùng tầm tuần thấy mọi người đánh giá pin yếu cũng khá hoang mang có vẻ mọi người để cài đặt mặc định nó sẽ tự bật dữ liệu di động chữ 4g sẽ hiện trên thanh sóng nên sẽ tụt pin rất nhanh mua cho người lớn nghe gọi to rõ không có gì để chê,pin khá trâu tầm tuần pin yếu khá hoang_mang vẻ cài_đặt mặc_định bật dữ_liệu di_động chữ 4g hiện sóng tụt pin nhanh mua người_lớn gọi to không chê,5
nokia-105-4g-pro,xin cho hỏi cách cài chỉ rung cho điện thoại này,cài rung điện_thoại,4
nokia-105-4g-pro,điện thoại khá ổn trong tầm giá vẫn giữ nguyên cái chất của cụt gạch nhà nokia hiện tại đàm thoại rất ok hy vọng là sẽ sử dụng lâu dài do mình mua cho mẹ mình sài nên mình nghĩ càng bềnh thì mình càng vui,điện_thoại khá ổn tầm giá nguyên chất cụt gạch nokia đàm_thoại ok hy_vọng lâu_dài mua mẹ sài bềnh vui,5
nokia-105-4g-pro,xin hỗ trợ cài quay số nhanh,cài nhanh,4
nokia-105-4g-pro,mình mới mua điện thoại tại thế giới di động mà sao điện thoại không hỗ trợ nhắn tin nhắn tin toàn bị lỗi cả thôi gọi điện thoại thì tốt,mới mua điện_thoại thế_giới di_động điện_thoại không nhắn_tin nhắn_tin toàn lỗi gọi điện_thoại tốt,3
nokia-105-4g-pro,cho mình hỏi tímình có mua máy này giờ muốn đổi sang máy khác được không máy này chữ nhỏ quá bà nhà mình không dùng được,tímình mua máy đổi sang máy không máy chữ nhỏ không,5
nokia-105-4g-pro,tôi mới mua máy nó báo có bản cập nhật mới nhưng khi tôi cập nhật lại báo cant find load file shop coi sao có phải mang ra kỹ thuật không ạ shop phản hồi sớm giúp mình nhé,mới mua máy báo cập_nhật mới cập_nhật báo cant find load file shop coi kỹ_thuật không shop phản_hồi giúp,3
nokia-105-4g-pro,mới mua hôm pin kèm máy dùng đến sáng mới sạc pin lần đầu nói chung ban đầu thấy ổn nhân viên siêu thị giao hàng tận nơi nhiệt tình cho dù đi giao hơi xa cảm ơn,mới mua hôm pin kèm máy mới sạc pin đầu ban_đầu ổn nhân_viên siêu_thị giao hàng tận nhiệt_tình đi giao hơi,5
nokia-105-4g-pro,sản phẩm bước đầu xài rất tốt,sản_phẩm bước_đầu xài tốt,5
nokia-110-4g-pro,loa to nghe nhạc hay pin nhanh hết lắp sim chỉ được ngày nếu nghe gọi ít thiết kế nhỏ gọn cứng cáp cổng sạc theo chuẩn micro usb khó cắm sạc,loa to nhạc pin nhanh hết lắp sim gọi thiết_kế nhỏ gọn cứng_cáp cổng sạc chuẩn micro usb cắm sạc,3
nokia-110-4g-pro,sản phẩm tốt dùng ổn giá tốt,sản_phẩm tốt ổn giá tốt,5
nokia-110-4g-pro,khi nghe gọi và nhắn tin hoặc hộp thư đến tiếng chuông điện thoại reo to lắm nhưng cũng ok dùng được tuần rồi pin thì trâu không thấy lỗi gì cả,gọi nhắn_tin hộp thư tiếng chuông điện_thoại reo to lắm ok tuần pin trâu không lỗi,5
nokia-110-4g-pro,tôi mua điện thoại xài được ngày cuộc gọi đến không có hiển thị tên người gọi mong tư vấn giúp với ạ,mua điện_thoại xài cuộc_gọi không hiển_thị gọi mong tư_vấn giúp,4
nokia-110-4g-pro,pin tụt nhanh quá ngày không dùng mà cũng hết pin nữa,pin tụt nhanh không hết pin,3
nokia-110-4g-pro,sao mình điện người ta không đổ chuông,điện ta không đổ chuông,3
nokia-110-4g-pro,người ta gọi tới không hiển thị tên mặc dù đã lưu tên trong danh bạ chỉ mình cách khắc phục đi ạ,ta gọi không hiển_thị mặc lưu danh_bạ khắc_phục đi,3
nokia-110-4g-pro,nghe gọi rõ pin trâu,gọi pin trâu,5
nokia-110-4g-pro,có tính năng quay số nhanh không sao mình đã gán số vào rồi nhưng không dùng được,tính_năng nhanh không gán không,3
nokia-110-4g-pro,sạc theo máy để là 5w nhưng thực tế chỉ có 275w hỏi nhân viên thì nói không biết,sạc máy 5 w thực_tế 275 w nhân_viên không,3
nokia-110-4g-pro,ok mà hơi khó thao tác phím,ok hơi thao_tác phím,4
nokia-110-4g-pro,sản phẩm ở mức trung bình sản phẩm hơi khó so với người già chứng năng màn hình hơi cùi dv nhanh chóng giao nhanh trong vòng 24h rất đáng để mua ăn đứt dv giao trong vòng ngày,sản_phẩm trung_bình sản_phẩm hơi người_già chứng năng màn_hình hơi cùi dv nhanh_chóng giao nhanh vòng 24 h mua ăn_đứt dv giao vòng,5
nokia-110-4g-pro,chất lượng thì không biết như nào nhưng máy êm đèn pin hơi tối máy nhẹ ngoại hình đẹp không chổ chê,chất_lượng không máy êm đèn_pin hơi tối máy nhẹ ngoại_hình đẹp không chổ chê,4
nokia-110-4g-pro,điện thoại tốt pin trâu mua cho người lớn tuổi dùng rất ok,điện_thoại tốt pin trâu mua người_lớn ok,5
nokia-110-4g-pro,chữ hơi nhỏ người lớn tuổi xài sẽ khó nhìn chữ,chữ hơi nhỏ người_lớn xài chữ,3
nokia-110-4g-pro,máy nhỏ gọn đẹp,máy nhỏ gọn đẹp,5
nokia-220-4g,loa nghe đôi lúc nghe không rõ bị rè loa không biết có đổi sang máy khác được không mua chưa được tháng,loa đôi không rè loa không đổi sang máy không mua,3
nokia-220-4g,cần tư vấn rời đài đi cài dài vào chỗ đó làm gì mà bấm bực mình ghê,tư_vấn rời đài đi cài chỗ bấm bực_mình ghê,5
nokia-220-4g,sao mà nhanh hết pin thế,nhanh hết pin,3
nokia-220-4g,phần tin nhắn không tách được số điện thoại rất bất tiện,tin_nhắn không tách điện_thoại bất_tiện,4
nokia-220-4g,phím f không dời đi được hay bị bấm vô,phím f không dời đi bấm vô,3
nokia-220-4g,cách đây tuần tôi có mua điện thoại nokia 4g màu đen ở tgdđ máy cày bắc bến tre và sử dụng vừa mới đây vào ngày tôi mua thêm nokia 4g màu cam đào của ptech là đơn vị phân phối chính hãng dòng máy này khi để máy cạnh nhau và bấm phím tôi mới để ý thấy máy màu đen mua ở tgdđ có đèn bàn phím bị rất tối tôi phản ánh vấn đề này nhờ phía kỹ thuật hỗ trợ giúp thứ nữa là khi kết nối tai nghe bluetooth tình trạng lúc được lúc không điện thoại tự ngắt kết nối rồi lại tự động kết nối trở lại rồi lát lại ngắt cứ lặp đi lặp lại như vậy tôi đang dùng tai nghe bluetooth chính hãng plantronic explorer vẫn sử dụng với iphone rất ổn định,tuần mua điện_thoại nokia 4g màu_đen tgdđ máy_cày bắc bến_tre mới mua nokia 4g màu_cam đào ptech phân_phối chính_hãng dòng máy máy cạnh bấm phím mới để_ý máy màu_đen mua tgdđ đèn bàn_phím tối phản_ánh vấn_đề kỹ_thuật giúp kết_nối tai bluetooth không điện_thoại ngắt kết_nối tự_động kết_nối trở_lại lát ngắt lặp đi lặp_lại tai bluetooth chính_hãng plantronic explorer iphone ổn_định,4
nokia-220-4g,có thể đổi phím fm radio được không,thể đổi phím fm radio không,5
nokia-220-4g,pin trâu thứ thiệt,pin trâu thứ_thiệt,4
nokia-220-4g,có thể nào tắt hoặc dời nút đài fm không,thể tắt dời nút đài fm không,3
nokia-220-4g,máy được thiết kiểu dáng đẹp độ hoàn thiện cao cầm nắm tốt loa to sóng bao đối với pin nghe gọi là ngày mới sạc lần nghe nhạc lướt web youtube ngày nói chung nokia thì rất ổn áp,máy thiết kiểu_dáng đẹp độ hoàn_thiện cầm nắm tốt loa to sóng bao đối pin gọi mới sạc nhạc lướt web nokia ổn_áp,4
nokia-220-4g,có thể nào tắt hoặc dời nút đài fm không,thể tắt dời nút đài fm không,3
nokia-220-4g,máy thiết kế đẹp độ hoàn thiện rất tốt mặt trước và mặt sau hầu như không có chi tiết thừa nào mặt sau vân máy khá đẹp tháo lắp vỏ tương đối dễ dàng duy có lúc tháo sim ra là có vẻ hơi khó chút máy cầm nhìn chung trông khá sang rất gọn pin thì mình dùng cảm thấy ở mức ổn không quá trâu sạc đầy tầm tiếng loa nghe tốt âm lượng lúc bật max ở mức vừa phải không quá to loa nghe nhạc nhẹ nhàng vàng khá êm và hay không bị chói gắt phím bấm cảm giác khá nhẹ êm máy mình thì có phím số bấm đôi lúc không được nhạy lắm các phím còn lại bấm rất ổn về phần mềm thì có tính năng đồng bộ danh bạ từ máy android là tính năng mình thấy rất hay mình chuyển danh bạ từ máy chính mất 20s là xong rồi game thì mình không chơi nhiều có game rắn còn mấy game khác thì phải mua mình hay nghe nhạc thấy phần nghe nhạc cần phải hoàn thiện nhiều hơn nữa máy nghe nhạc nhẹ trữ tình nhạc vàng rất hay nha nhạc sôi động bass bủng thì kém về mạng thì mình có lắp sim 4g xem youtube thấy còn chậm đôi lúc bị đơ và giật mặc dù cũng là 4g nhưng bắt không như smartphone cái này chắc cũng ít người dùng mình cũng chỉ cắm test xem thế nào mình mua về làm máy phụ và chủ yếu cầm nghe nhạc nên viết đôi dòng cảm nhận để mọi người tham khảo thêm cảm ơn đã đọc,máy thiết_kế đẹp độ hoàn_thiện tốt mặt mặt hầu không chi_tiết thừa mặt vân máy khá đẹp tháo lắp vỏ tương_đối dễ_dàng tháo sim vẻ hơi chút máy cầm trông khá sang gọn pin ổn không trâu sạc tầm tiếng loa tốt âm_lượng bật max vừa_phải không to loa nhạc nhẹ_nhàng vàng khá êm không chói gắt phím bấm cảm_giác khá nhẹ êm máy phím bấm đôi không nhạy lắm phím bấm ổn phần_mềm tính_năng đồng_bộ danh_bạ máy android tính_năng danh_bạ máy 20 s xong game không game rắn mấy game mua nhạc nhạc hoàn_thiện máy nhạc_nhẹ trữ_tình nhạc_vàng nha nhạc sôi_động bass bủng kém mạng lắp sim 4g chậm đôi đơ giật mặc 4g bắt không smartphone người_dùng cắm test mua máy phụ chủ_yếu cầm nhạc viết đôi dòng cảm_nhận tham_khảo đọc,5
nokia-220-4g,máy mới mua sử dụng nghe gọi thì ok không nghe gọi nhiều ngày là hết pin trường hợp này bảo hành hay sao vậy admin,máy mới mua gọi ok không gọi hết pin trường_hợp bảo hành admin,3
nokia-220-4g,cần tư vấn dời nút đài fm,tư_vấn dời nút đài fm,4
nokia-220-4g,có thể dời nút radio đi chỗ khác không vậy ông lớn tuổi dùng bấm nhầm nhanh hết pin quá,thể dời nút radio đi chỗ không bấm nhầm nhanh hết pin,4
nokia-220-4g,dời nút đài bên phải đươc không vậy,dời nút đài đươc không,4
nokia-220-4g,dời nút đài bên phải đươc không vậy,dời nút đài đươc không,3
nokia-220-4g,tốt,tốt,5
nokia-220-4g,mình mới lấy hồi chiều này ngày tháng máy rất ok loa lớn màn hình lớn cái gì cũng lớn hết giá cũng vừa túi tiền mình sẽ giới thiệu bạn bè mình mua,mới hồi chiều máy ok loa màn_hình hết giá túi_tiền giới_thiệu bạn_bè mua,5
nokia-220-4g,có thể đổi nút fm không nhỉ người lớn tuổi sử dụng dễ bấm nhầm nhưng thao tác tắt thì lại rất khó,thể đổi nút fm không người_lớn dễ bấm nhầm thao_tác tắt,4
nokia-220-4g,có thể tắt hoặc đổi nút mà không vậy bấm nhầm quên tắt là hết pin,thể tắt đổi nút không bấm nhầm quên tắt hết pin,3
nokia-220-4g,điện thoại màn hình to dễ dùng pin lâu hết nên mua nhé mọi người,điện_thoại màn_hình to dễ pin hết mua,5
nokia-220-4g,sản phẩm dùng tốt nhé âm thanh rõ ràng thiết kế đẹp pin ổn nên mua,sản_phẩm tốt âm_thanh rõ_ràng thiết_kế đẹp pin ổn mua,5
nokia-220-4g,điện thoại xài ok lắm luôn,điện_thoại xài ok lắm,5
oppo-a3-8gb-128gb,máy lag quá ạ,máy lag,3
oppo-a3-8gb-128gb,miếng dán màn hình lúc mua điện thoại dán sẵn hiện tại mình mún dán lại thì giá bao nhiêu vậy ạ,miếng dán màn_hình mua điện_thoại dán sẵn mún dán giá bao nhiêu,5
oppo-a3-8gb-128gb,làm sao để tắt và mở bằng cách nhấn liên tục trên màn hình máy chỉ có thể nhấn liên tục khi mở,tắt nhấn liên_tục màn_hình máy thể nhấn liên_tục,4
oppo-a3-8gb-128gb,mua hồi tháng sài tới giờ rất thích sử dụng cơ bản hàng ngày mượt mà tầm giá a3 128gb còn pin tạm ổn sạc nhanh rất hay sài máy không nóng thích chíp scorpon 6s này rồi 5sao,mua hồi sài cơ_bản hàng mượt_mà tầm giá a3 128 gb pin tạm ổn sạc nhanh sài máy không nóng chíp scorpon 6 s 5,5
oppo-a3-8gb-128gb,chị mình đang dùng nên chỉ mình mua máy loại này màn hình sáng loa hay lắm,mua máy màn_hình loa lắm,5
oppo-a3-8gb-128gb,máy đẹp xài ổn và bền,máy đẹp xài ổn bền,5
oppo-a3-8gb-128gb,mình mua đk tháng giờ muốn đổi sang samsung a16 không biết bên mình có hỗ trợ không,mua đk đổi sang samsung a16 không không,3
oppo-a3-8gb-128gb,mình mới mua gần 1 tháng có thể đổi lại được không máy không hỗ trợ được những chức năng mình cần,mới mua thể đổi không máy không chức_năng,3
oppo-a3-8gb-128gb,mới mua được ngày giờ đổi lại mất đến vậy,mới mua đổi,3
oppo-a3-8gb-128gb,mới mua được ngày máy tụt pin nhanh phút sút,mới mua máy tụt pin nhanh phút sút,3
oppo-a3-8gb-128gb,máy mượt pin trâu chụp đẹp loa nghe to rõ hay,máy mượt pin trâu chụp đẹp loa to,5
oppo-a38-6gb,đã dùng được tháng sản phẩm giá tầm trung màu đẹp pin sạc nhanh lại dùng được lâu,sản_phẩm giá tầm_trung màu đẹp pin sạc nhanh,5
oppo-a38-6gb,mượt nói chung ok với tâm giá,mượt ok tâm giá,5
oppo-a38-6gb,đã mua oppo a38 6 gb 128gb tại thế giới di động thái hà hôm em nhân viên trẻ tư vẫn và hỗ trợ cài đặt rất nhiệt tình sau hơn tháng sử dụng hôm nay mình mới đánh giá sản phẩm này điện thoại dùng rất ổn chạy mượt mà pin sạc nhanh,mua oppo a38 sáu gb 128 gb thế_giới di_động thái hà hôm nhân_viên trẻ tư cài_đặt nhiệt_tình hôm_nay mới sản_phẩm điện_thoại ổn chạy mượt_mà pin sạc nhanh,5
oppo-a38-6gb,mẫu mã đẹp giá cả phù hợp,mẫu_mã đẹp giá_cả,5
oppo-a38-6gb,máy mới không sử dụng mà sạc vô lúc thì hơi bị nóng máy xin hướng xử lý với ạ,máy mới không sạc vô hơi nóng máy hướng,3
oppo-a38-6gb,sản phẩm rất tốt ạ,sản_phẩm tốt,5
oppo-a38-6gb,trải nghiệm sau tháng mọi thứ đều tốt,trải_nghiệm tốt,5
oppo-a38-6gb,mới hôm nay nên mọi thứ đều ok vào app nhanh nên mua trong tầm giá,mới hôm_nay ok app nhanh mua tầm giá,5
oppo-a38-6gb,tổng quan dùng tốt nha nhưng lâu lâu có khi nút bị đơ nhấn mấy lần mới có được,tổng_quan tốt nha nút đơ nhấn mấy mới,5
oppo-a38-6gb,điện thoại pin sạc rất tốt ok,điện_thoại pin sạc tốt ok,5
oppo-a38-6gb,ok,ok,5
oppo-a38-6gb,rất tốt,tốt,5
oppo-a38-6gb,sản phẩm tốt phù hợp giá thành,sản_phẩm tốt giá_thành,4
oppo-a38-6gb,rất tốt phục vụ chu đáo,tốt phục_vụ chu_đáo,5
oppo-a38-6gb,sản phẩm mình bỏ tiền ra mua mới mà lại không được khui seal nhân viên bảo đây là qui định công ty bắt buộc phải khui seal toàn bộ hết rồi mới bán cho khách cảm thấy không hài lòng hụt hẫng,sản_phẩm tiền mua mới không khui seal nhân_viên bảo qui_định công_ty bắt_buộc khui seal toàn_bộ hết mới không hài hụt_hẫng,4
oppo-a3x-4gb-64gb,không biết là máy mình có lỗi không chứ để thông số kĩ thuật là 5100mah mà mình dùng pin từ tầm tiếng là cạn rồi mà dùng vẫn oke vừa tầm giá mình không hay chơi game nên không đánh giá được máy này khi chơi game có oke không nhưng khi dụng bộ thì vẫn mượt,không máy lỗi không thông_số kĩ_thuật 5100 mah pin tầm tiếng cạn ok vừa_tầm giá không game không máy game ok không dụng mượt,4
oppo-a3x-4gb-64gb,mua được ngày cảm giác hiện tại ổn lâu lâu vẫn bị đơ tí không sao kể ra có kết nối nfc và ứng dụng quay màn hình thì ngon,mua cảm_giác ổn đơ tí không kết_nối NFC ứng_dụng màn_hình ngon,4
oppo-a3x-4gb-64gb,máy mới nên ứng dụng chưa được trơn chu lắm sài tầm vài ngày là ổn định tác vụ vân tay khuôn mặt nhanh ok pin ổn,máy mới ứng_dụng trơn chu lắm sài tầm ổn_định tác_vụ vân_tay khuôn_mặt nhanh ok pin ổn,4
oppo-a3x-4gb-64gb,mới mua máy này được ngày mà sao vô ổ lại tự thoát ra và màng hình hơi mờ chữ muốn đổi con khác có lổ không và bao nhiêu phần trăm vậy,mới mua máy vô ổ thoát màng hình hơi mờ chữ đổi lổ không bao nhiêu phần_trăm,3
oppo-a3x-4gb-64gb,nói chung là vài tác vụ bấm thì ok còn game thì bỏ đi liên quân chỉnh setting thấp nhất vẫn lag fps tụt ào ào mua cho ông bà thì ok,tác_vụ bấm ok game đi liên_quân chỉnh setting lag fps tụt mua ok,3
oppo-a3x-4gb-64gb,máy ok không có gì chê cả,máy ok không chê,5
oppo-a3x-4gb-64gb,tôi chọn mua màu đỏ vì nó đẹp và hợp phong,mua màu_đỏ đẹp hợp phong,5
oppo-a3x-4gb-64gb,bền xài tháng rồi vẫn mượt không thấy giật lag gì là hay,bền xài mượt không giật lag,5
oppo-a3x-4gb-64gb,từ thôi ngon bổ rẻ ngoài ra mình thích ở máy photo này là loa lớn nghe rất hay,ngon bổ rẻ máy photo loa,5
oppo-a58-4g,chương trình phát dưới nền bị mất phải làm sao để xài tiếp,chương_trình phát xài tiếp,4
oppo-a58-4g,rất tốt ạ,tốt,5
oppo-a58-4g,thấy dùng ổn chủ yếu nghe gọi nên không đánh giá chi tiết,ổn chủ_yếu gọi không chi_tiết,4
oppo-a58-4g,đẹp và mạnh mẽ,đẹp mạnh_mẽ,5
oppo-a58-4g,điện thoại mau hết pin mình mới mua tuần có đổi lại mất bao nhiêu,điện_thoại mau hết pin mới mua tuần đổi bao nhiêu,3
oppo-a58-4g,sản phẩm xài tốt đánh trận liên quân tốn pin,sản_phẩm xài tốt đánh trận liên_quân tốn pin,5
oppo-a58-4g,ok sản phẩm tốt đó,ok sản_phẩm tốt,5
oppo-a58-4g,cho mình hỏi tại sao app gọi điện nhắn tin lại như vầy ạ ô số là app của google còn ô số là app mặc định từ nhà sản xuất nhu cầu của mình là chỉ dùng app của nhà sản xuất thôi điện thoại mình vừa mua về xem lại thì chỉ có app nhắn tin là app mặc định tìm app gọi điện mặc định trên máy nhưng không có ad giúp mình ạ,app gọi điện nhắn_tin vầy ô app google ô app mặc_định sản_xuất nhu_cầu app sản_xuất điện_thoại mua app nhắn_tin app mặc_định app gọi điện mặc_định máy không ad giúp,3
oppo-a58-4g,sản phẩm tốt,sản_phẩm tốt,4
oppo-a58-4g,dùng tốt trong tầm giá,tốt tầm giá,5
oppo-a58-4g,mình định mua realme c67 nhưng nhân viên tư vấn outo a58 đến khi check lại thông số thì lại thấy realme c67 có phần nhỉnh hơn hơi thất vọng,định mua realme c67 nhân_viên tư_vấn outo a58 check thông_số realme c67 nhỉnh hơi thất_vọng,4
oppo-a58-4g,shop sản phẩm bên điện máy xanh đã sử dụng được hơn tháng lúc đầu có tính năng phát dưới nền youtube có nhưng giờ mất phải làm sao ạ mong nhân viên bên shop hỗ trợ giúp cảm ơn,shop sản_phẩm điện_máy xanh đầu tính_năng phát mong nhân_viên shop giúp,4
oppo-a58-4g,máy mình vừa mua bên điện máy xanh giờ không dùng nữa bên điện máy xạn có thu lại không ạ,máy mua điện_máy xanh không điện_máy xạn thu không,5
