word,is_stopword
đưa_xuống,1
đưa_đến,1
được,0
được_cái,1
được_lời,1
được_nước,1
được_tin,1
đại_loại,1
đại_nhân,1
đại_phàm,1
đại_để,1
đạt,0
đảm_bảo,0
đầu_tiên,1
đầy,0
đầy_năm,1
đầy_phè,1
đầy_tuổi,1
đặc_biệt,0
đặt,0
đặt_làm,1
đặt_mình,1
đặt_mức,1
đặt_ra,1
đặt_trước,0
đặt_để,1
đến,1
đến_bao_giờ,0
đến_cùng,0
đến_cùng_cực,0
đến_cả,1
đến_giờ,1
đến_gần,1
đến_hay,1
đến_khi,1
đến_lúc,1
đến_lời,1
đến_nay,1
đến_ngày,1
đến_nơi,1
đến_nỗi,0
đến_thì,1
đến_thế,1
đến_tuổi,1
đến_xem,1
đến_điều,1
đến_đâu,0
đều,1
đều_bước,1
đều_nhau,1
đều_đều,1
để,1
để_cho,1
để_giống,1
để_không,1
để_lòng,1
để_lại,1
để_mà,1
để_phần,1
để_được,1
để_đến_nỗi,0
đối_với,1
đồng_thời,1
đủ,0
đủ_dùng,1
đủ_nơi,1
đủ_số,1
đủ_điều,1
đủ_điểm,1
ơ,1
ơ_hay,1
ơ_kìa,1
ơi,1
ơi_là,1
ư,1
ạ,1
ạ_ơi,1
ấy,1
ấy_là,1
ầu_ơ,1
ắt,1
ắt_hẳn,0
ắt_là,0
ắt_phải,0
ắt_thật,0
ối_dào,0
ối_giời,0
ối_giời_ơi,0
ồ,1
ồ_ồ,1
ổng,1
ớ,1
ớ_này,1
ờ,1
ờ_ờ,1
ở,1
ở_lại,1
ở_như,1
ở_nhờ,1
ở_năm,1
ở_trên,1
ở_vào,1
ở_đây,1
ở_đó,1
ở_được,1
ủa,1
ứ_hự,1
ứ_ừ,1
ừ,1
ừ_nhé,1
ừ_thì,1
ừ_ào,1
ừ_ừ,1
ử,1
